DEPENDENCIA,No.,APELLIDOS Y NOMBRES,TITULAR DEL CARGO,GENERO,DOCUMENTO,FECHA INGRESO,CARGO,CODIGO,GRADO,SUELDO,GASTOS REP.,FECHA CORTE,HOY,DIAS TOTALES,AÑOS,MESES,PERIODOS,OBSERVACIONES,TIPO VINCULACION,REVISION PLANTA
SECRETARÍA DE EDUCACIÓN,94,MARTÍNEZ PÉREZ LAURA,,F,1010099288,2022-01-19,PROFESIONAL UNIVERSITARIO,212,1,5300000,,2026-05-20,2026-05-22,15,2,0,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
SECRETARÍA DE SALUD,95,TORRES ROA CARLOS ANDRÉS,,M,1010100667,2023-02-20,TÉCNICO ADMINISTRATIVO,213,2,5325000,,2026-05-20,2026-05-22,5,3,1,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE HACIENDA,96,ROJAS DÍAZ DIANA CAROLINA,,F,1010102046,2024-03-21,AUXILIAR ADMINISTRATIVO,214,3,5350000,,2026-05-20,2026-05-22,2,4,2,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
DIRECCIÓN DE TALENTO HUMANO,97,MORENO GIL JUAN SEBASTIÁN,,F,1010103425,2025-04-22,PROFESIONAL ESPECIALIZADO,215,4,5375000,,2026-05-20,2026-05-22,126,0,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,98,GÓMEZ PEÑA PAULA ANDREA,,M,1010104804,2022-05-23,CONTRATISTA DE APOYO,216,5,5400000,,2026-05-20,2026-05-22,15,1,4,Periodo 2026,Tipo: Vacaciones | Registro demo para poblar tablas,Vacaciones,DEMO
OFICINA JURÍDICA,99,CASTRO RUIZ MIGUEL ÁNGEL,,F,1010106183,2023-06-24,ASESOR JURÍDICO,217,6,5425000,,2026-05-20,2026-05-22,5,2,5,Periodo 2026,Tipo: Incapacidad | Registro demo para poblar tablas,Incapacidad,DEMO
SECRETARÍA DE GOBIERNO,100,SILVA MORA NATALIA FERNANDA,,F,1010107562,2024-07-25,PROFESIONAL UNIVERSITARIO,218,7,5450000,,2026-05-20,2026-05-22,2,3,6,Periodo 2026,Tipo: Permiso | Registro demo para poblar tablas,Permiso,DEMO
SECRETARÍA DE INFRAESTRUCTURA,101,VARGAS LÓPEZ ANDRÉS FELIPE,,M,1010108941,2025-08-26,TÉCNICO ADMINISTRATIVO,219,8,5475000,,2026-05-20,2026-05-22,126,4,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo para poblar tablas,Licencia maternidad,DEMO
SECRETARÍA DE PLANEACIÓN,101,TORRES CARLOS ANDRÉS,,F,1000000829,2022-02-02,TÉCNICO ADMINISTRATIVO,201,1,2680000,,2026-02-02,2026-05-22,2,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE HACIENDA,102,ROJAS DIANA CAROLINA,,F,1000001658,2023-03-03,AUXILIAR ADMINISTRATIVO,202,2,2860000,,2026-03-03,2026-05-22,3,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CONTRATACIÓN,103,MORENO JUAN SEBASTIÁN,,M,1000002487,2024-04-04,PROFESIONAL ESPECIALIZADO,203,3,3040000,,2026-04-04,2026-05-22,4,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA GENERAL,104,GÓMEZ PAULA ANDREA,,F,1000003316,2025-05-05,ASESOR,204,4,3220000,,2026-05-05,2026-05-22,5,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,105,CASTRO MIGUEL ÁNGEL,,F,1000004145,2021-06-06,SECRETARIO DE DESPACHO,205,5,3400000,,2026-06-06,2026-05-22,6,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,106,SILVA NATALIA FERNANDA,,M,1000004974,2022-07-07,PROFESIONAL UNIVERSITARIO,206,6,3580000,,2026-01-07,2026-05-22,7,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE EDUCACIÓN,107,VARGAS ANDRÉS FELIPE,,F,1000005803,2023-08-08,TÉCNICO ADMINISTRATIVO,207,7,3760000,,2026-02-08,2026-05-22,8,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,108,RODRÍGUEZ MARÍA CAMILA,,F,1000006632,2024-09-09,AUXILIAR ADMINISTRATIVO,208,8,3940000,,2026-03-09,2026-05-22,9,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE SALUD,109,HERRERA SANTIAGO,,M,1000007461,2025-10-10,PROFESIONAL ESPECIALIZADO,209,9,4120000,,2026-04-10,2026-05-22,10,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,110,PARDO VALENTINA,,F,1000008290,2021-11-11,ASESOR,210,10,4300000,,2026-05-11,2026-05-22,11,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE MINAS Y ENERGÍA,111,CÁRDENAS JORGE IVÁN,,F,1000009119,2022-12-12,SECRETARIO DE DESPACHO,211,11,4480000,,2026-06-12,2026-05-22,12,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,112,PRIETO MÓNICA ALEJANDRA,,M,1000009948,2023-01-13,PROFESIONAL UNIVERSITARIO,212,0,4660000,,2026-01-13,2026-05-22,13,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AGRICULTURA,113,SUÁREZ DANIEL ESTEBAN,,F,1000010777,2024-02-14,TÉCNICO ADMINISTRATIVO,213,1,4840000,,2026-02-14,2026-05-22,14,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,114,NIÑO CLAUDIA PATRICIA,,F,1000011606,2025-03-15,AUXILIAR ADMINISTRATIVO,214,2,5020000,,2026-03-15,2026-05-22,15,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TURISMO,115,RINCÓN CAROLINA,,M,1000012435,2021-04-16,PROFESIONAL ESPECIALIZADO,215,3,5200000,,2026-04-16,2026-05-22,16,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,116,MARTÍNEZ PÉREZ LAURA,,F,1000013264,2022-05-17,ASESOR,216,4,5380000,,2026-05-17,2026-05-22,17,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
DESPACHO DEL GOBERNADOR,117,TORRES CARLOS ANDRÉS,,F,1000014093,2023-06-18,SECRETARIO DE DESPACHO,217,5,5560000,,2026-06-18,2026-05-22,18,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE PLANEACIÓN,118,ROJAS DIANA CAROLINA,,M,1000014922,2024-07-19,PROFESIONAL UNIVERSITARIO,218,6,5740000,,2026-01-19,2026-05-22,19,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE HACIENDA,119,MORENO JUAN SEBASTIÁN,,F,1000015751,2025-08-20,TÉCNICO ADMINISTRATIVO,219,7,5920000,,2026-02-20,2026-05-22,20,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CONTRATACIÓN,120,GÓMEZ PAULA ANDREA,,F,1000016580,2021-09-21,AUXILIAR ADMINISTRATIVO,220,8,2500000,,2026-03-21,2026-05-22,21,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA GENERAL,121,CASTRO MIGUEL ÁNGEL,,M,1000017409,2022-10-22,PROFESIONAL ESPECIALIZADO,221,9,2680000,,2026-04-22,2026-05-22,22,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,122,SILVA NATALIA FERNANDA,,F,1000018238,2023-11-23,ASESOR,222,10,2860000,,2026-05-23,2026-05-22,23,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,123,VARGAS ANDRÉS FELIPE,,F,1000019067,2024-12-24,SECRETARIO DE DESPACHO,223,11,3040000,,2026-06-24,2026-05-22,24,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE EDUCACIÓN,124,RODRÍGUEZ MARÍA CAMILA,,M,1000019896,2025-01-25,PROFESIONAL UNIVERSITARIO,224,0,3220000,,2026-01-25,2026-05-22,25,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,125,HERRERA SANTIAGO,,F,1000020725,2021-02-26,TÉCNICO ADMINISTRATIVO,225,1,3400000,,2026-02-26,2026-05-22,26,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE SALUD,126,PARDO VALENTINA,,F,1000021554,2022-03-27,AUXILIAR ADMINISTRATIVO,226,2,3580000,,2026-03-27,2026-05-22,27,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,127,CÁRDENAS JORGE IVÁN,,M,1000022383,2023-04-01,PROFESIONAL ESPECIALIZADO,227,3,3760000,,2026-04-01,2026-05-22,28,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE MINAS Y ENERGÍA,128,PRIETO MÓNICA ALEJANDRA,,F,1000023212,2024-05-02,ASESOR,228,4,3940000,,2026-05-02,2026-05-22,29,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,129,SUÁREZ DANIEL ESTEBAN,,F,1000024041,2025-06-03,SECRETARIO DE DESPACHO,229,5,4120000,,2026-06-03,2026-05-22,30,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AGRICULTURA,130,NIÑO CLAUDIA PATRICIA,,M,1000024870,2021-07-04,PROFESIONAL UNIVERSITARIO,230,6,4300000,,2026-01-04,2026-05-22,31,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,131,RINCÓN CAROLINA,,F,1000025699,2022-08-05,TÉCNICO ADMINISTRATIVO,231,7,4480000,,2026-02-05,2026-05-22,32,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TURISMO,132,MARTÍNEZ PÉREZ LAURA,,F,1000026528,2023-09-06,AUXILIAR ADMINISTRATIVO,232,8,4660000,,2026-03-06,2026-05-22,33,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,133,TORRES CARLOS ANDRÉS,,M,1000027357,2024-10-07,PROFESIONAL ESPECIALIZADO,233,9,4840000,,2026-04-07,2026-05-22,34,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
DESPACHO DEL GOBERNADOR,134,ROJAS DIANA CAROLINA,,F,1000028186,2025-11-08,ASESOR,234,10,5020000,,2026-05-08,2026-05-22,35,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE PLANEACIÓN,135,MORENO JUAN SEBASTIÁN,,F,1000029015,2021-12-09,SECRETARIO DE DESPACHO,235,11,5200000,,2026-06-09,2026-05-22,36,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE HACIENDA,136,GÓMEZ PAULA ANDREA,,M,1000029844,2022-01-10,PROFESIONAL UNIVERSITARIO,236,0,5380000,,2026-01-10,2026-05-22,37,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CONTRATACIÓN,137,CASTRO MIGUEL ÁNGEL,,F,1000030673,2023-02-11,TÉCNICO ADMINISTRATIVO,237,1,5560000,,2026-02-11,2026-05-22,38,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA GENERAL,138,SILVA NATALIA FERNANDA,,F,1000031502,2024-03-12,AUXILIAR ADMINISTRATIVO,238,2,5740000,,2026-03-12,2026-05-22,39,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,139,VARGAS ANDRÉS FELIPE,,M,1000032331,2025-04-13,PROFESIONAL ESPECIALIZADO,239,3,5920000,,2026-04-13,2026-05-22,40,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,140,RODRÍGUEZ MARÍA CAMILA,,F,1000033160,2021-05-14,ASESOR,240,4,2500000,,2026-05-14,2026-05-22,41,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE EDUCACIÓN,141,HERRERA SANTIAGO,,F,1000033989,2022-06-15,SECRETARIO DE DESPACHO,241,5,2680000,,2026-06-15,2026-05-22,42,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,142,PARDO VALENTINA,,M,1000034818,2023-07-16,PROFESIONAL UNIVERSITARIO,242,6,2860000,,2026-01-16,2026-05-22,43,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE SALUD,143,CÁRDENAS JORGE IVÁN,,F,1000035647,2024-08-17,TÉCNICO ADMINISTRATIVO,243,7,3040000,,2026-02-17,2026-05-22,44,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,144,PRIETO MÓNICA ALEJANDRA,,F,1000036476,2025-09-18,AUXILIAR ADMINISTRATIVO,244,8,3220000,,2026-03-18,2026-05-22,45,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE MINAS Y ENERGÍA,145,SUÁREZ DANIEL ESTEBAN,,M,1000037305,2021-10-19,PROFESIONAL ESPECIALIZADO,245,9,3400000,,2026-04-19,2026-05-22,46,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,146,NIÑO CLAUDIA PATRICIA,,F,1000038134,2022-11-20,ASESOR,246,10,3580000,,2026-05-20,2026-05-22,47,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AGRICULTURA,147,RINCÓN CAROLINA,,F,1000038963,2023-12-21,SECRETARIO DE DESPACHO,247,11,3760000,,2026-06-21,2026-05-22,48,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,148,MARTÍNEZ PÉREZ LAURA,,M,1000039792,2024-01-22,PROFESIONAL UNIVERSITARIO,248,0,3940000,,2026-01-22,2026-05-22,49,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TURISMO,149,TORRES CARLOS ANDRÉS,,F,1000040621,2025-02-23,TÉCNICO ADMINISTRATIVO,249,1,4120000,,2026-02-23,2026-05-22,50,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,150,ROJAS DIANA CAROLINA,,F,1000041450,2021-03-24,AUXILIAR ADMINISTRATIVO,200,2,4300000,,2026-03-24,2026-05-22,51,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
DESPACHO DEL GOBERNADOR,151,MORENO JUAN SEBASTIÁN,,M,1000042279,2022-04-25,PROFESIONAL ESPECIALIZADO,201,3,4480000,,2026-04-25,2026-05-22,52,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE PLANEACIÓN,152,GÓMEZ PAULA ANDREA,,F,1000043108,2023-05-26,ASESOR,202,4,4660000,,2026-05-26,2026-05-22,53,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE HACIENDA,153,CASTRO MIGUEL ÁNGEL,,F,1000043937,2024-06-27,SECRETARIO DE DESPACHO,203,5,4840000,,2026-06-27,2026-05-22,54,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CONTRATACIÓN,154,SILVA NATALIA FERNANDA,,M,1000044766,2025-07-01,PROFESIONAL UNIVERSITARIO,204,6,5020000,,2026-01-01,2026-05-22,55,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA GENERAL,155,VARGAS ANDRÉS FELIPE,,F,1000045595,2021-08-02,TÉCNICO ADMINISTRATIVO,205,7,5200000,,2026-02-02,2026-05-22,56,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,156,RODRÍGUEZ MARÍA CAMILA,,F,1000046424,2022-09-03,AUXILIAR ADMINISTRATIVO,206,8,5380000,,2026-03-03,2026-05-22,57,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,157,HERRERA SANTIAGO,,M,1000047253,2023-10-04,PROFESIONAL ESPECIALIZADO,207,9,5560000,,2026-04-04,2026-05-22,58,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE EDUCACIÓN,158,PARDO VALENTINA,,F,1000048082,2024-11-05,ASESOR,208,10,5740000,,2026-05-05,2026-05-22,59,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,159,CÁRDENAS JORGE IVÁN,,F,1000048911,2025-12-06,SECRETARIO DE DESPACHO,209,11,5920000,,2026-06-06,2026-05-22,60,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE SALUD,160,PRIETO MÓNICA ALEJANDRA,,M,1000049740,2021-01-07,PROFESIONAL UNIVERSITARIO,210,0,2500000,,2026-01-07,2026-05-22,61,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,161,SUÁREZ DANIEL ESTEBAN,,F,1000050569,2022-02-08,TÉCNICO ADMINISTRATIVO,211,1,2680000,,2026-02-08,2026-05-22,62,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE MINAS Y ENERGÍA,162,NIÑO CLAUDIA PATRICIA,,F,1000051398,2023-03-09,AUXILIAR ADMINISTRATIVO,212,2,2860000,,2026-03-09,2026-05-22,63,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,163,RINCÓN CAROLINA,,M,1000052227,2024-04-10,PROFESIONAL ESPECIALIZADO,213,3,3040000,,2026-04-10,2026-05-22,64,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AGRICULTURA,164,MARTÍNEZ PÉREZ LAURA,,F,1000053056,2025-05-11,ASESOR,214,4,3220000,,2026-05-11,2026-05-22,65,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE DESARROLLO EMPRESARIAL,165,TORRES CARLOS ANDRÉS,,F,1000053885,2021-06-12,SECRETARIO DE DESPACHO,215,5,3400000,,2026-06-12,2026-05-22,66,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE TURISMO,166,ROJAS DIANA CAROLINA,,M,1000054714,2022-07-13,PROFESIONAL UNIVERSITARIO,216,6,3580000,,2026-01-13,2026-05-22,67,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE TIC Y GOBIERNO ABIERTO,167,MORENO JUAN SEBASTIÁN,,F,1000055543,2023-08-14,TÉCNICO ADMINISTRATIVO,217,7,3760000,,2026-02-14,2026-05-22,68,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
DESPACHO DEL GOBERNADOR,168,GÓMEZ PAULA ANDREA,,F,1000056372,2024-09-15,AUXILIAR ADMINISTRATIVO,218,8,3940000,,2026-03-15,2026-05-22,69,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE PLANEACIÓN,169,CASTRO MIGUEL ÁNGEL,,M,1000057201,2025-10-16,PROFESIONAL ESPECIALIZADO,219,9,4120000,,2026-04-16,2026-05-22,70,1,9,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE HACIENDA,170,SILVA NATALIA FERNANDA,,F,1000058030,2021-11-17,ASESOR,220,10,4300000,,2026-05-17,2026-05-22,71,2,10,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE CONTRATACIÓN,171,VARGAS ANDRÉS FELIPE,,F,1000058859,2022-12-18,SECRETARIO DE DESPACHO,221,11,4480000,,2026-06-18,2026-05-22,72,3,11,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA GENERAL,172,RODRÍGUEZ MARÍA CAMILA,,M,1000059688,2023-01-19,PROFESIONAL UNIVERSITARIO,222,0,4660000,,2026-01-19,2026-05-22,73,0,0,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE GOBIERNO Y ACCIÓN COMUNAL,173,HERRERA SANTIAGO,,F,1000060517,2024-02-20,TÉCNICO ADMINISTRATIVO,223,1,4840000,,2026-02-20,2026-05-22,74,1,1,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INTEGRACIÓN SOCIAL,174,PARDO VALENTINA,,F,1000061346,2025-03-21,AUXILIAR ADMINISTRATIVO,224,2,5020000,,2026-03-21,2026-05-22,75,2,2,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE EDUCACIÓN,175,CÁRDENAS JORGE IVÁN,,M,1000062175,2021-04-22,PROFESIONAL ESPECIALIZADO,225,3,5200000,,2026-04-22,2026-05-22,76,3,3,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE CULTURA Y PATRIMONIO,176,PRIETO MÓNICA ALEJANDRA,,F,1000063004,2022-05-23,ASESOR,226,4,5380000,,2026-05-23,2026-05-22,77,0,4,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE SALUD,177,SUÁREZ DANIEL ESTEBAN,,F,1000063833,2023-06-24,SECRETARIO DE DESPACHO,227,5,5560000,,2026-06-24,2026-05-22,78,1,5,Periodo 2026,Tipo: Incapacidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE INFRAESTRUCTURA PÚBLICA,178,NIÑO CLAUDIA PATRICIA,,M,1000064662,2024-07-25,PROFESIONAL UNIVERSITARIO,228,6,5740000,,2026-01-25,2026-05-22,79,2,6,Periodo 2025,Tipo: Permiso | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
SECRETARÍA DE MINAS Y ENERGÍA,179,RINCÓN CAROLINA,,F,1000065491,2025-08-26,TÉCNICO ADMINISTRATIVO,229,7,5920000,,2026-02-26,2026-05-22,80,3,7,Periodo 2026,Tipo: Licencia maternidad | Registro demo ampliado para pruebas de navegación,CARRERA ADMINISTRATIVA,OK
SECRETARÍA DE AMBIENTE Y DESARROLLO SOSTENIBLE,180,MARTÍNEZ PÉREZ LAURA,,F,1000066320,2021-09-27,AUXILIAR ADMINISTRATIVO,230,8,2500000,,2026-03-27,2026-05-22,81,0,8,Periodo 2025,Tipo: Vacaciones | Registro demo ampliado para pruebas de navegación,PROVISIONAL,OK
