IdEducacion,Estudios,Matrícula profesional,Institución estudios,Postgrado,Institución postgrado,Diplomado o CAP SENA,Correo institucional
EDU223,Especialización,MP-475960,Barrios Inc,Especialización,Escobar-Díaz,,gomezandres@carrillo-caceres.com
EDU224,Especialización,MP-826802,Gaviria-Díaz,Especialización,Narváez and Sons,,vasquezoscar@ardila.net
EDU225,Maestría,MP-885858,"Roa, González and López",Maestría,"Cifuentes, Garzón and Ardila",,enriqueparra@garcia-ortiz.com
EDU226,Profesional,MP-251878,"Núñez, Correa and Camargo",,Ocampo-Vélez,,jaramillojohn@cabrera.com
EDU227,Especialización,MP-323563,Flórez Ltd,Especialización,Guerra Inc,,miguelcuellar@bonilla.biz
EDU228,Profesional,MP-401648,Gutiérrez-Garcés,,"Gómez, López and Muñoz",,vromero@camacho-andrade.com
EDU229,Especialización,MP-632844,"López, Prada and Beltrán",Especialización,Guzmán Ltd,,carlospacheco@lopez-suarez.com
EDU230,Especialización,MP-398871,Tovar PLC,Especialización,Romero Ltd,,felipe19@perez-perez.com
EDU231,Especialización,MP-352764,Flórez-Gómez,Especialización,Ariza Inc,,josefacabrera@hernandez.biz
EDU232,Especialización,MP-474999,Mendoza-Ramírez,Especialización,Fernández-González,GESTION PUBLICA Y GERENCIA DE SISTEMAS DE GESTION DE CALIDAD EN EL SECTOR PUBLICO,maria71@rodriguez-salas.com
EDU233,Especialización,MP-254626,Díaz-Cruz,Especialización,Caicedo-Vélez,,jaimeshugo@mendoza-velez.com
EDU234,Profesional,MP-648884,Guerra LLC,,Manrique-Posada,,parradiana@restrepo.com
EDU235,Profesional,MP-479039,Alfonso-Castro,,"Chaparro, Ortiz and Sandoval",GESTION PUBLICA,pilar73@giraldo.biz
EDU236,Especialización,MP-778841,Delgado LLC,Especialización,Rojas LLC,,marialopez@arroyo.com
EDU237,Maestría,MP-969807,Díaz-Bautista,Maestría,"Espitia, González and Moreno",,xhurtado@pacheco.info
EDU238,Maestría,MP-482736,"Hernández, López and Fajardo",Maestría,Vélez-Betancur,,sara11@vargas.info
EDU239,Profesional,MP-339779,Rodríguez-Salazar,,Barrios-Martínez,,igonzalez@guevara.com
EDU240,Maestría,MP-433373,"Navarro, Pérez and Monsalve",Maestría,"Ruiz, Moreno and Díaz",,patricia53@cardona.com
EDU241,Maestría,MP-596758,Gómez-Alvarado,Maestría,Palacios-Cardozo,,ramirezlady@vasquez.com
EDU242,Maestría,MP-771447,"Flórez, Córdoba and Burgos",Maestría,Uribe PLC,,felipetamayo@fuentes-ramos.com
EDU243,Especialización,MP-664396,Navarro-Vargas,Especialización,Gallego-Pulido,,david89@villa.com
EDU244,Profesional,MP-640652,Pacheco-Cáceres,,Bejarano Ltd,,santiago85@daza.com
EDU245,Técnico,,Bedoya-Prieto,,Hoyos-Cantillo,,luis99@jimenez-gonzalez.com
EDU246,Especialización,MP-412023,López Group,Especialización,"Hernández, Navarro and Salazar",CONTRATACION ESTATAL /GESTION PUBLICA/INSTRUMENTACION SISMICA,ybustamante@duarte-moreno.com
EDU247,Técnico,,"Arias, Flórez and García",,Gómez Inc,,monroyines@loaiza-granados.biz
EDU248,Especialización,MP-734947,Manrique-Camargo,Especialización,"Velasco, Rojas and Vargas",,maribel28@daza-perez.com
EDU249,Técnico,,Medina Inc,,Vanegas LLC,GESTIÓN TRIBUTARIA,juanpalacios@perez.org
EDU250,Bachiller,,González-Muñoz,,Suárez Inc,,garciaivan@gomez-gonzalez.net
EDU251,Especialización,MP-943601,Bautista and Sons,Especialización,Ortiz Ltd,,hernandezjose@giraldo.com
EDU252,Profesional,MP-887494,Silva and Sons,,Gómez LLC,,david16@torres-daza.info
EDU253,Profesional,MP-684054,"Zapata, Ramírez and López",,"Vera, Sánchez and Quintero",,mendozacarlos@pena.biz
EDU254,Especialización,MP-301152,Rivera and Sons,Especialización,Ortega Group,,yuliana53@valencia.com
EDU255,Técnico,,"Rengifo, Rincón and Montoya",,Garcés-Quintero,,andresherrera@miranda-gonzalez.com
EDU256,Especialización,MP-354726,"Arias, Sánchez and Álvarez",Especialización,Ruiz Inc,GESTION PUBLICA Y ADMINISTRACION PUBLICA,fanny12@osorio-diaz.com
EDU257,Especialización,MP-126790,Hurtado LLC,Especialización,Ariza PLC,,vanegaswilliam@reyes.org
EDU258,Especialización,MP-880741,Salazar-Díaz,Especialización,"Díaz, Peña and Ramírez",,pereawilliam@hernandez-arango.com
EDU259,Profesional,MP-244931,"Prada, Gómez and Franco",,Correa Group,,maria90@gutierrez-sepulveda.biz
EDU260,Profesional,MP-551558,"Rojas, Velasco and Camargo",,"Suárez, López and Patiño",,pachecoisabel@cortes.net
EDU261,Tecnólogo,,Díaz-Chaparro,,Marín-Silva,,luis06@villamil-zambrano.com
EDU262,Profesional,MP-500584,"González, Gamboa and Valencia",,"Narváez, Gómez and Medina",,asandoval@castellanos.info
EDU263,Tecnólogo,,"Rodríguez, López and Perdomo",,Mejía Group,"DIPLOMADOS EN: EMPRENDIMIENTO Y GESTION SOCIAL, EMPRENDIMIENTO CULTURA, EN VIGIAS DEL PATRIMONIO CULTURAL Y GESTION DE PROYECTOS DE INVERSION PUBLICA Y REGALÍAS",diazmanuel@martinez.com
EDU264,Profesional,MP-529667,"González, Pérez and Ramírez",,Torres-Ochoa,GESTION PUBLICA Y GESTIÓN PÚBLICA TERRITORIAL,norbeyparra@marquez-henao.biz
EDU265,Profesional,MP-357218,Bonilla-Castro,,"Castañeda, Vega and Tovar",DIPLOMADOS EN: MUJER Y GENERO Y ADMINISTRACION PUBLICA,moralesalejandra@hurtado.com
EDU266,Especialización,MP-767304,"Quintero, Correa and González",Especialización,"González, Cruz and Fonseca",,hurtadoana@caballero-mendez.com
EDU267,Especialización,MP-194377,Sánchez Inc,Especialización,Pérez LLC,CONTRATACION ESTATAL Y DOCENCIA UNIVERSITARIA,alexander90@espitia.com
EDU268,Maestría,MP-302503,"Ochoa, Martínez and Rincón",Maestría,Álvarez-Quintero,,lauravalderrama@vargas.info
EDU269,Maestría,MP-157775,Beltrán-Ospina,Maestría,Suárez and Sons,,ortegaesteban@molina.com
EDU270,Profesional,MP-151226,Herrera Ltd,,"Yepes, Padilla and Contreras",,ramirezedwin@mosquera.org
EDU271,Especialización,MP-642642,Burgos Ltd,Especialización,"Páez, Muñoz and Morales",HORTICULTURA DE CLIMA FRIO,johana85@contreras-patino.com
EDU272,Maestría,MP-656690,Méndez LLC,Maestría,Sánchez Ltd,,luismunoz@garcia.org
EDU273,Especialización,MP-789944,Hernández-Perdomo,Especialización,Bedoya Ltd,,ygarcia@ariza.com
EDU274,Maestría,MP-600328,Hernández-Sierra,Maestría,Medina PLC,GESTIÓN PUBLICA,andres87@guevara.org
EDU275,Maestría,MP-521947,Becerra PLC,Maestría,Martínez Inc,,corredorjulieth@diaz.com
EDU276,Especialización,MP-851883,Quintero LLC,Especialización,Quintero Inc,CONTRATACION,pilar08@galindo.com
EDU277,Maestría,MP-757011,"Pulido, Pineda and Álvarez",Maestría,"Barbosa, Pérez and Giraldo",,rardila@arango.org
EDU278,Maestría,MP-179973,Ramírez LLC,Maestría,Moreno-Giraldo,,enrique52@henao.com
EDU279,Especialización,MP-260761,"Suárez, Hernández and Chávez",Especialización,"Flórez, Valencia and Corredor",,mbermudez@herrera.info
EDU280,Profesional,MP-168803,"Arias, Ortiz and Garcés",,Perdomo-Lozano,,tamayojair@mora.com
EDU281,Especialización,MP-720307,Osorio-Barrios,Especialización,Palacios Group,CONSTRUCCION DE CASAS SISMO RESISTENTES DE UNO Y DOS PISOS,emiliaparra@jaimes-uribe.com
EDU282,Especialización,MP-928533,Uribe Ltd,Especialización,"Mosquera, López and Ávila",,ximena01@arias-ramirez.com
EDU283,Profesional,MP-126086,Parra Group,,Rivas LLC,,alejandrachacon@moreno.org
EDU284,Técnico,,Arteaga-Gómez,,"Bermúdez, Escobar and Pérez","DIPLOMADOS EN: GESTION PUBLICA, DESARROLLO LOCAL Y COOPERACION INTERNACIONA, GESTION DE PROYECTOS DE INVERSION PUBLICA Y REGALIAS, TRANSFERENCIA METODOLOGICA PARA LA CREACION DE REDES EMPRESARIALES",miguel23@gomez.net
EDU285,Tecnólogo,,Pinto-Cabrera,,Giraldo and Sons,,camilo43@avila.biz
EDU286,Tecnólogo,,Suárez LLC,,Suárez-Gómez,,zmoreno@garcia.biz
EDU287,Especialización,MP-205423,"Caballero, Buitrago and Guzmán",Especialización,"Campo, Londoño and Pérez",,jhernandez@castillo-jimenez.biz
EDU288,Profesional,MP-965566,Montoya Ltd,,Rodríguez PLC,,llopez@lara.info
EDU289,Profesional,MP-829903,"Benavides, Ruiz and Suárez",,"González, Miranda and Jaimes",,dorisherrera@guzman.info
EDU290,Especialización,MP-232717,Gómez-Medina,Especialización,"Valencia, Gómez and Soto",,wperez@mejia.com
EDU291,Profesional,MP-863799,Rojas Inc,,"Giraldo, Gómez and Ramos","SIMULACION DE REDES DE DISTRIBUCION, GESTION PUBLICA Y HERRAMIENTAS INFORMATICAS",yaneth73@lozano.com
EDU292,Maestría,MP-664798,Reyes-Ortiz,Maestría,"Contreras, Sierra and López",ESPECIAÑIZACION EN GETION AMBIENTA Y EN TALENTO HUMANO POR COMPETENCIAS,fmartinez@quintero-mantilla.com
EDU293,Especialización,MP-416480,"Ibarra, Gómez and Giraldo",Especialización,"Castillo, Molina and Rosero",,cmunoz@rodriguez.info
EDU294,Especialización,MP-478892,Valencia-López,Especialización,Zapata Inc,,dvelez@aguirre.com
EDU295,Bachiller,,Benavides-Ávila,,"Rosero, Mesa and García",DOCENCARIA UNIVERSITARIA,arueda@garcia.com
EDU296,Tecnólogo,,"Gómez, Cárdenas and Rojas",,"Martínez, Orozco and Ruiz",,malvarez@silva.net
EDU297,Especialización,MP-194475,Ramos-Mosquera,Especialización,Padilla-Rodríguez,,garciaedilberto@vera.info
EDU298,Profesional,MP-761450,Parra LLC,,Correa PLC,,ggil@palacio.biz
EDU299,Profesional,MP-735232,Cruz and Sons,,Castro Group,,ricoluz@castillo.biz
EDU300,Profesional,MP-201459,Ramírez-Pinto,,Daza Ltd,,ignacio78@perez.org
EDU301,Profesional,MP-427231,Hernández-Camargo,,Henao and Sons,,arenasnury@ibarra.net
EDU302,Maestría,MP-845182,Garzón-Ávila,Maestría,"Valencia, Bermúdez and Torres",,montoyaanibal@villamizar.com
EDU303,Profesional,MP-223257,Calderón-Gómez,,Zapata and Sons,ADMINISTRACION MUNICIPAL,patriciamosquera@bustos-orozco.com
EDU304,Profesional,MP-792095,Villa PLC,,Rueda-Sandoval,,reyesviviana@contreras.info
EDU305,Profesional,MP-167695,"Duarte, Díaz and Vélez",,Castaño-Muñoz,,acalderon@velez.net
EDU306,Especialización,MP-724771,Pérez PLC,Especialización,Vergara Inc,DIPLOMADOS EN: SISTEMA INTEGRAL E INTEGRADO DE ATENCION SOCIAL Y SANITARIA EN DROGODEPENDENCIAS DESDE LA ATENCION PRIMARIA Y SEGUIMIENTO Y EVALUACION DE POLITICAS PUBLICAS EN EL NIVEL TERRITORIAL,asuarez@zambrano-chacon.biz
EDU307,Especialización,MP-245016,Díaz-Medina,Especialización,Salcedo-Martínez,DIPLOMADO EN ADMINISTRACION PUBLICA,mariadiaz@barragan-castrillon.net
EDU308,Especialización,MP-571027,Delgado PLC,Especialización,"Anaya, González and González",METODOLOGIA BIT PASE Y FORMACION DE LIDERES DE CALIDAD,svargas@forero.com
EDU309,Profesional,MP-811028,Rueda-Correa,,Ibarra Group,,xfranco@martinez.com
EDU310,Especialización,MP-125939,Serrano-García,Especialización,Garzón PLC,,orlando90@palacios-alvarez.info
EDU311,Tecnólogo,,Londoño-Zuluaga,,"Ballesteros, Romero and Vásquez",,gmosquera@soto.net
EDU312,Especialización,MP-214914,"Burbano, Torres and Parra",Especialización,"Guerra, Montes and Gutiérrez",,nubia01@loaiza.com
EDU313,Profesional,MP-646015,"Arias, Londoño and Mora",,Morales-Sánchez,,hernandezangel@gamboa-valencia.com
EDU314,Profesional,MP-351051,Carrillo Inc,,Soto and Sons,,claudiarodriguez@beltran.com
EDU315,Especialización,MP-808662,"García, Ramírez and Jaramillo",Especialización,"Guerrero, Bedoya and Pardo",DIPLOMADOS EN: GESTION DE LA INVERSION PUBLICA Y ADMINISTRACION PUBLICA,maria58@gomez.net
EDU316,Profesional,MP-654399,"Jaramillo, Gallego and Hernández",,"Villamizar, Benítez and Martínez",,cmurillo@londono.info
EDU317,Profesional,MP-176898,Córdoba-Rodríguez,,Rodríguez-Torres,,jesusgarcia@cordoba.biz
EDU318,Tecnólogo,,Pinto-Rojas,,Vargas-Espinosa,,cristian11@suarez-mejia.com
EDU319,Maestría,MP-840829,Díaz LLC,Maestría,"González, Benavides and Rueda",DIPLOMADO EN ADMINISTRACION PUBLICA,corredoryesid@guerrero-cardona.com
EDU320,Profesional,MP-600531,"Cárdenas, Pérez and Mosquera",,Sánchez-González,DIPLOMADO EN GESTION PUBLICA,zapatacarolina@espitia.com
EDU321,Técnico,,"Martínez, Castaño and Rodríguez",,"Gil, Muñoz and Manrique",DIPLOMADO REGIONAL EN GESTION DEL CONOCIMIENTO,evanegas@salgado-bejarano.org
EDU322,Maestría,MP-963349,"Hernández, Velasco and Cerón",Maestría,"Barrera, Martínez and Chávez",,magnolia39@beltran.com
EDU323,Maestría,MP-694316,"Angulo, Castro and Duque",Maestría,Duarte-Jiménez,,dochoa@bernal.com
EDU324,Profesional,MP-492720,"Cruz, Castaño and González",,Mosquera PLC,,luciavega@medina.com
EDU325,Tecnólogo,,Herrera-Ospina,,Giraldo-Díaz,DIPLOMADOS EN GESTION PUBLICA Y CODIGO DE PROCEDIMIENTO ADMINISTRATIVO Y DE LO CONTENCIOSO ADMINISTRATIVO,fernandoarenas@villamil.com
EDU326,Especialización,MP-997048,Sandoval LLC,Especialización,Sánchez-Aguilar,,hectorduran@gomez.com
EDU327,Profesional,MP-170313,"Ruiz, Montes and León",,"Ospina, Cuesta and Hernández",,gloriarodriguez@nunez.org
EDU328,Técnico,,"Arévalo, Vanegas and Contreras",,Fernández-Guerrero,,omoreno@buitrago-angulo.net
EDU329,Maestría,MP-276072,Medina Ltd,Maestría,"Hernández, Ramírez and Valencia",DIPLOMADO EN FORTALECIMIENTO DE COMPETENCIAS PARA LAADMINISTRACION DE SISTEMAS DE GESTION Y GESTION DE PROYECTOS DE INVERSION PUBLICA Y REGALIAS,andreasuarez@parra.net
EDU330,Maestría,MP-667376,"Franco, Gómez and Cabrera",Maestría,Portilla-Martínez,GESTION PUBLICA Y GESTION DE PROYECTOS DE INVERSION,linaarteaga@ortega.biz
EDU331,Profesional,MP-770396,Duarte-Quintero,,Suárez PLC,,hpedraza@sanchez.org
EDU332,Especialización,MP-671139,Ceballos-Vanegas,Especialización,Erazo Group,,luciacarvajal@ocampo.net
EDU333,Maestría,MP-209945,"Oviedo, Montes and Rodríguez",Maestría,Buitrago-Montenegro,DIPLOMADOS EN: GESTION PUBLICA Y ADMINISTRACION PUBLICA,garciadaniela@perez.com
EDU334,Especialización,MP-730075,"Molina, Rojas and Romero",Especialización,Ortiz-Barbosa,,ivan14@sanchez.com
EDU335,Especialización,MP-610736,Peña-Cáceres,Especialización,López and Sons,DOCENCIA UNIVERSITARIA y METODOLOGIA BIT-PASE,luisa51@murillo.net
EDU336,Maestría,MP-820777,Rojas-Luna,Maestría,Becerra Inc,,emmapinto@camargo.com
EDU337,Especialización,MP-853704,"García, Castro and Ortiz",Especialización,Romero Group,,riosluz@ardila.com
EDU338,Maestría,MP-554137,Díaz Group,Maestría,Barragán Ltd,PERIODISMO DEPORTIVO,ricardo86@ramirez-vera.com
EDU339,Profesional,MP-865348,Hoyos Group,,"Córdoba, Rueda and López",,kserrano@rodriguez.com
EDU340,Maestría,MP-802965,Díaz-Alarcón,Maestría,Angulo-Nieto,,ocorrea@prieto.com
EDU341,Especialización,MP-986089,"Acosta, Ortega and Gómez",Especialización,Ramos Ltd,,flor99@roa.com
EDU342,Profesional,MP-158478,Díaz-Agudelo,,Pérez-Acevedo,PRODUCCION AGROPECUARIA SOSTENIBLE,paradaangela@fonseca-gallego.org
EDU343,Maestría,MP-520182,Acosta-López,Maestría,Restrepo-Rodríguez,GESTION PUBLICA,ariasjuan@arias-salazar.com
EDU344,Maestría,MP-743907,Ballesteros Group,Maestría,"Mercado, Ortiz and Gómez",HORTICULTURA DE CLIMA FRIO,rodriguezaurora@buitrago.com
EDU345,Maestría,MP-273895,"García, Arango and Cuesta",Maestría,Bejarano and Sons,,castanoandres@cuesta-pacheco.biz
EDU346,Profesional,MP-976141,"Narváez, Ramos and López",,González PLC,DOCENCIA PARA LA EDUCACION SUPERIOR,qangulo@parra.net
EDU347,Especialización,MP-649639,Aguirre-Sánchez,Especialización,"Morales, Ruiz and Osorio",,dianabeltran@ruiz.com
EDU348,Profesional,MP-430814,Álvarez LLC,,Cardona-Salgado,,carrilloyolanda@zambrano.com
EDU349,Especialización,MP-903451,"Sánchez, Hurtado and Ruiz",Especialización,"Caro, Martínez and Giraldo",,mariohernandez@garcia-carrillo.com
EDU350,Especialización,MP-986559,"Gómez, Parra and Castillo",Especialización,"Mora, Vargas and Gutiérrez",SIMULACION DE REDES DE DISTRIBUCION DE AGUA POTABLE BASADA EN EL SOFTWARE EPANET Y GESTION PUBLICA,luzfernandez@franco.org
EDU351,Profesional,MP-260775,González Inc,,Caro Group,"DIPLOMADOS EN: GESTION PUBLICA, CONTRATACION ESTATAL Y ADMINISTRACION PUBLICA",pgarcia@cardenas-angarita.com
EDU352,Especialización,MP-462462,"Barbosa, Gutiérrez and Sánchez",Especialización,Cruz LLC,,acostalucia@sanchez-rodriguez.net
EDU353,Profesional,MP-761948,"Ortiz, Blanco and Tamayo",,"Sarmiento, Rojas and Duarte",CREACION Y ADMON DE EMPRESAS,ariasgloria@garcia-vargas.com
EDU354,Especialización,MP-790907,"Restrepo, Cortés and Pinto",Especialización,Álvarez Group,,luis32@camacho.info
EDU355,Maestría,MP-950350,Cortés-García,Maestría,Polo-Mendoza,,nohora01@pulido.com
EDU356,Tecnólogo,,Cifuentes Inc,,"Díaz, Rodríguez and Mosquera",DIPLOMADOS EN: EMPLEO PUBLICO Y NUEVOS INSTRUMENTOS DE GESTION HUMANA,ovidiovelez@meneses-lopez.com
EDU357,Maestría,MP-447860,Marín LLC,Maestría,Castañeda-Carrillo,,julianvillamil@torres.info
EDU358,Especialización,MP-242055,Córdoba Group,Especialización,"Henao, Torres and Vargas",,wramirez@espinosa-rincon.net
EDU359,Profesional,MP-311810,"Giraldo, Arias and Flórez",,Marín LLC,,tbenitez@ortega-lara.com
EDU360,Especialización,MP-626549,Hernández-Narváez,Especialización,"Cardona, Moreno and Garcés",GESTION PUBLICA Y CONTRATACION ESTATAL,bhenao@guerra.biz
EDU361,Profesional,MP-211715,Guerrero-Vélez,,Sandoval LLC,,gabrielfajardo@bernal.com
EDU362,Profesional,MP-351451,"Ibarra, Mantilla and Quintero",,"Santos, Rueda and Mejía",,maria41@herrera.com
EDU363,Especialización,MP-128141,"Montes, Bautista and Alarcón",Especialización,López Ltd,,luisaprada@gomez.com
EDU364,Profesional,MP-706177,Velásquez LLC,,Pérez PLC,"DIPLOMADOS EN: GESTION PUBLICA, DERECHO DISCIPLINARIO, CONTROL FISCAL PARTICIPATIVO Y CONTRATACION ESTATAL Y GESTION PUBLICA",mariaceron@salazar.org
EDU365,Profesional,MP-513523,"Carmona, Hernández and Rubio",,"Castrillón, Guerrero and Naranjo",DIPLOMADOS EN: GESTION PUBLICA Y ADMINISTRACION PUBLICA,sofia47@parada-moreno.com
EDU366,Profesional,MP-152921,Quintero PLC,,Arévalo LLC,,gloria01@moreno.com
EDU367,Especialización,MP-651216,Garzón-Martínez,Especialización,"Parra, Rodríguez and Tamayo",,fanny62@hurtado.com
EDU368,Especialización,MP-471233,Arteaga Inc,Especialización,Romero PLC,,penaalexis@torres.org
EDU369,Especialización,MP-403571,"Marín, Arévalo and Calderón",Especialización,Fernández-Rincón,,navarroandres@castro.com
EDU370,Profesional,MP-970678,"Serrano, Guerrero and Guerrero",,Parra PLC,"DIPLOMADOS EN: GERENCIA DE SISTEMAS INTEGRADOS HESQ, ATENCION INTEGRADA A LAS ENFERMEDADES PREVALENTES DE LA INFANCIA Y VERIFICADORES DE CONDICIONES DE HABILITACION DE IPS",fuentesluz@hoyos-caballero.com
EDU371,Maestría,MP-446130,González-Guerrero,Maestría,Gómez-Barrios,,aguzman@hernandez-correa.com
EDU372,Profesional,MP-668020,Sierra-Osorio,,"Escobar, Peña and López",,vangarita@vasquez.com
EDU373,Profesional,MP-308432,"Parra, Díaz and Arias",,Sepúlveda-Alzate,,ugomez@velasquez.com
EDU374,Profesional,MP-470965,Rico and Sons,,Villegas-Ortega,,sandracardona@trujillo.com
EDU375,Técnico,,Páez-Vega,,Páez-Marín,ACREDITACIÓN,cortesisabel@castro.com
EDU376,Tecnólogo,,"Jiménez, Rubio and Sánchez",,Molina Group,,leonardo01@rodriguez-vargas.com
EDU377,Maestría,MP-361691,Guerrero-López,Maestría,Páez-Arias,VERIFICADOR DE LAS CONDICIONES DE HABILITACIÓN DE PRESTADORES DE SERVICIOS DE SALUD,ycabrera@arias.net
EDU378,Profesional,MP-155147,Daza PLC,,Aguilar LLC,,carlosgutierrez@mora-torres.com
EDU379,Profesional,MP-667829,Quiroz-Hernández,,Alvarado-Guerra,,juliethgomez@arevalo.net
EDU380,Maestría,MP-895928,Angulo Group,Maestría,"Camacho, Flórez and Romero",,elena23@alfonso-perez.com
EDU381,Profesional,MP-987474,Guerrero PLC,,López-Torres,"SALUD OCUPACIONAL, EQUIPOS NACIONALES DE INTERVENCION PARA DESASTRES Y LIDERES EN SEGURIDAD, SALUD Y AMBIENTE",patricia58@yepes.com
EDU382,Profesional,MP-933731,Hernández-Martínez,,Calderón Group,,andrea64@mendoza.com
EDU383,Profesional,MP-242980,Ramírez LLC,,"Corredor, Rendón and Muñoz",,camilaparra@cortes.com
EDU384,Profesional,MP-732336,Bravo Inc,,"Escobar, Fernández and Molina",,cortesjorge@garcia.com
EDU385,Profesional,MP-574013,Valencia Ltd,,"Sánchez, Delgado and Moreno",,hernan64@villamizar.com
EDU386,Especialización,MP-605659,"Silva, Díaz and Cabrera",Especialización,Sánchez and Sons,,andres08@lara-guerra.com
EDU387,Profesional,MP-119675,"Pérez, Torres and García",,Ramos PLC,,gustavo04@rosero.info
EDU388,Profesional,MP-687100,Acevedo and Sons,,Ramírez-Galeano,,agiraldo@gomez.org
EDU389,Especialización,MP-456992,"Espitia, Hernández and Martínez",Especialización,Díaz-Silva,,egutierrez@arias.org
EDU390,Especialización,MP-352164,Hernández-Cabrera,Especialización,"Álvarez, Romero and Torres",,davidbernal@rodriguez-prada.com
EDU391,Profesional,MP-123284,Gómez Ltd,,"Gómez, Bedoya and Gaviria",,gonzalezluz@rendon.info
EDU392,Especialización,MP-190272,"Pinto, Oviedo and Suárez",Especialización,"Moreno, Palacio and Giraldo",,diazgustavo@salamanca.com
EDU393,Técnico,,"González, Lozano and Guerrero",,"Velandia, Sánchez and García",,laraalexis@bonilla.com
EDU394,Técnico,,Hernández-Blanco,,Marín LLC,,david55@naranjo.com
EDU395,Maestría,MP-839290,Ávila PLC,Maestría,Palacios-Palacios,PROMOCION DE LA SALUD Y PREVENCION DE LA ENFERMEDAD,rosadiaz@murcia-acosta.org
EDU396,Maestría,MP-631089,Álvarez-Vera,Maestría,Restrepo-Mercado,,alejandrobonilla@lopez.info
EDU397,Profesional,MP-308124,Orozco-Medina,,Rodríguez Inc,,alvaradomarina@moreno.com
EDU398,Profesional,MP-792797,"Andrade, Montoya and Bohórquez",,Osorio-Pérez,,raulmeneses@suarez.com
EDU399,Técnico,,Pinto-Rodríguez,,Rodríguez-Vargas,,oscar96@morales.biz
EDU400,Técnico,,Muñoz-Calderón,,Bustos LLC,,ycardona@diaz.info
EDU401,Técnico,,López-Quintero,,"Arrieta, Valencia and Barragán",,luis97@hernandez.com
EDU402,Profesional,MP-710704,Cardona-Cortés,,López-López,,sandra04@mosquera-ortiz.com
EDU403,Maestría,MP-769416,"Hurtado, Ortega and Roa",Maestría,"Portilla, Cortés and Guerrero",DIRECCION Y GESTION DE LAS ORGANIZACIONES DEPORTIVAS,germancifuentes@ramos-soto.net
EDU404,Especialización,MP-110749,Vargas-Villa,Especialización,"Barbosa, Herrera and Castillo",,mariana18@arenas.com
EDU405,Profesional,MP-200734,Sánchez Ltd,,"Ortiz, Rodríguez and Torres",,vmartinez@alvarez.com
EDU406,Profesional,MP-962371,"Meza, Ruiz and Buitrago",,Mosquera Ltd,DIPLOMADO EN LIDERAZFO GESTION DE MAPAS DE CONOCIMIENTO REGIONAL,castanedapedro@maldonado.com
EDU407,Especialización,MP-863185,"Padilla, Caballero and Quintero",Especialización,Ariza Inc,GESTION PUBLICA,jorge47@tamayo-gallego.org
EDU408,Maestría,MP-194071,Osorio LLC,Maestría,Giraldo-Pinto,DIPLOMADO EN GESTION PUBLICA CAP SECRETARIA GENERAL,isabeldiaz@suarez.com
EDU409,Maestría,MP-683609,"Castañeda, Patiño and Restrepo",Maestría,Ramos PLC,,patinowilliam@paz-gonzalez.info
EDU410,Profesional,MP-367552,"Pérez, Castellanos and Yepes",,"Romero, Blanco and Acevedo",,lalvarez@parra.com
EDU411,Técnico,,Zapata Ltd,,Cardona-Mendoza,,salazarvalentina@ortiz.biz
EDU412,Especialización,MP-889177,Rivera and Sons,Especialización,"Hernández, Acevedo and Suárez",,agomez@avila-delgado.com
EDU413,Maestría,MP-202974,Salazar Inc,Maestría,Fonseca-Duarte,GESTION PUBLICA,martinezmyriam@oviedo.com
EDU414,Especialización,MP-489678,Mejía-Barragán,Especialización,González-Delgado,,manuel70@bedoya-valderrama.com
EDU415,Especialización,MP-896948,Valencia-Sánchez,Especialización,Cano and Sons,GESTION PUBLICA Y GESTIÓN ADMINISTRATIVA Y CONTABLE,milena77@silva-uribe.com
EDU416,Especialización,MP-738112,"Fernández, Ramírez and Guerra",Especialización,"Bohórquez, Mejía and Restrepo",,sernaarbey@ochoa.com
EDU417,Especialización,MP-694604,Jiménez-Rueda,Especialización,Guerrero-Granados,CREACION Y ADMON DE EMPRESAS Y SECRETARIADO GENERAL,medinaruth@velez.com
EDU418,Especialización,MP-568933,Páez-Prieto,Especialización,Hernández-Valencia,,martinezhector@giraldo-guerra.info
EDU419,Especialización,MP-234055,"Vargas, Duque and Meza",Especialización,Rodríguez-Pérez,,alejandraperez@garcia-moreno.com
EDU420,Profesional,MP-726759,Benavides Group,,Pabón LLC,,gladisbenavides@meneses-lozano.com
EDU421,Especialización,MP-855678,"Guerrero, Hernández and Torres",Especialización,Caballero Inc,,edgar48@rodriguez.info
EDU422,Profesional,MP-189613,"Cruz, Escobar and Mejía",,Ortega-Vargas,,diazedith@correa.com
EDU423,Técnico,,"Ortiz, Sanabria and Benavides",,"Arenas, Gutiérrez and Solano",,victoracosta@lopez.com
EDU424,Profesional,MP-759792,"Parra, Gómez and Gaviria",,Ortega-Peña,GESTION PUBLICA Y CAP SECRETARIA GENERAL,andrea34@estrada.info
EDU425,Especialización,MP-450877,"Lara, Salazar and Buitrago",Especialización,Vargas-Henao,"DIPLOMADO EN GESTION PUBLICA/CAP SECRETARIADO, DIPLOMADOS EN; FORTALECIMIENTO DE COMPETENCIAS PARA LA ADMINISTRACION DE SISTEMAS DE GESTION, FINANZAS PUBLICAS Y PRESUPUESTO Y EN DERECHOS HUMANOS CON ENFASIS EN TRATA Y TRAFICO DE PERSONAS",marinatorres@ordonez-garcia.com
EDU426,Especialización,MP-864757,Figueroa PLC,Especialización,"Cerón, Perea and Silva",,alonso20@romero.com
